Week No,Date,Time,Temperature (0C),Humidity(%),Soil Moisture level1,Soil Moisture level2,Motor On/Off,
,,06.30 p.m.,32,78,0,0,On,
,5/25/2023,08.30 a.m.,35,77,0,0,On,
,,06.30 p.m.,34,79,1,1,Off,
,5/26/2023,08.30 a.m.,29,78,0,1,On,
,,06.45 p.m.,32,75,0,0,On,
,5/27/2023,07.30 a.m.,33,74,0,1,On,
,,06.00 p.m.,34,76,1,0,On,
,5/28/2023,08.20 a.m.,31,73,0,1,On,
,,06.00 p.m.,32,72,1,0,On,
10th Week,5/29/2023,07.30 a.m.,33,71,1,1,Off,
,,06.00 p.m.,34,74,0,0,On,
,5/30/2023,08.30 a.m.,35,73,0,1,On,
,,06.15 p.m.,34,73,1,0,On,
,5/31/2023,08.10 a.m.,35,73,0,1,On,
,,07.45 p.m.,32,72,0,0,On,
,6/1/2023,07.30 a.m.,33,72,1,0,On,
,,06.00 p.m.,33,71,1,1,Off,
,6/2/2023,08.20 a.m.,34,73,1,0,On,
,,06.00 p.m.,32,74,0,0,On,
,6/3/2023,08.30 a.m.,30,73,0,0,On,
,,06.00 p.m.,28,73,1,0,On,
,6/4/2023,08.00 a.m.,30,72,0,1,On,
,,06.45 p.m.,31,70,0,0,On,
11th Week,6/5/2023,07.30 a.m.,33,74,0,1,On,
,,06.00 p.m.,34,75,1,0,On,
,6/6/2023,08.20 a.m.,33,73,0,1,On,
,,06.00 p.m.,33,76,1,1,Off,
,6/7/2023,07.30 a.m.,33,70,1,0,On,
,,06.00 p.m.,34,75,0,0,On,
,6/8/2023,08.30 a.m.,35,73,0,1,On,
,,06.15 p.m.,33,74,1,1,Off,
,6/9/2023,08.10 a.m.,29,70,0,1,On,
,,07.45 p.m.,32,76,0,0,On,
,6/10/2023,07.30 a.m.,33,75,1,0,On,
,,06.30 p.m.,34,73,0,0,On,
,6/11/2023,08.30 a.m.,35,74,1,0,On,
,,06.30 p.m.,33,78,0,1,Off,
